,X1,X2,labels,Name,Position,PPG,APG,RPG,,,,,,,,,
243,-0.98395519,-1.756617126,Shooter,Justin Holiday,G,11.6,2.2,4.4,,,,,,,,,
244,-1.002391213,-1.789787257,Shooter,Justin Holiday,FG,9.5,1.4,3.5,,,,,,,,,
247,-1.846941951,-0.730037687,Shooter,Rodney Hood,G,12.2,2,2.5,,,,,,,,,
248,-1.707905736,-0.889351473,Shooter,Rodney Hood,G,9.6,1.3,1.6,,,,,,,,,
261,-0.47672026,-0.797600133,Shooter,Wes Iwundu,F,5,1.1,2.7,,,,,,,,,
264,-1.550528769,-0.761908104,Shooter,Frank Jackson,G,8.1,1.1,2.2,,,,,,,,,
266,-0.769346867,-0.825292421,Shooter,Justin Jackson,F,6.7,1.3,2.8,,,,,,,,,
267,-0.873969804,-0.507569262,Shooter,Justin Jackson,F,8.2,1,2.3,,,,,,,,,
271,-1.095075703,-0.272108758,Shooter,John Jenkins,G,5.2,1,1.6,,,,,,,,,
277,-0.629462026,-1.199162558,Shooter,Stanley Johnson,F,7.5,1.3,3.6,,,,,,,,,
281,-0.295382387,-1.016340335,Shooter,Wesley Johnson,FG,3.7,0.6,2.1,,,,,,,,,
282,-1.092775903,-0.948546356,Shooter,Wesley Johnson,FG,2.8,0.6,1.5,,,,,,,,,
286,-0.378589927,-0.95705401,Shooter,Jalen Jones,F,5.1,0.4,2.1,,,,,,,,,
295,-1.117872352,-0.56402621,Shooter,Luke Kennard,G,9.7,1.8,2.9,,,,,,,,,
300,-1.056401574,-1.730563976,Shooter,Kevin Knox,F,12.8,1.1,4.5,,,,,,,,,
301,-0.991995005,-0.564311412,Shooter,Furkan Korkmaz,GF,5.8,1.1,2.3,,,,,,,,,
304,-0.286145315,-0.882369967,Shooter,Kyle Korver,GF,9.1,1.2,2.5,,,,,,,,,
307,-0.497545309,-0.783612377,Shooter,Kyle Kuzma,F,18.7,2.5,5.5,,,,,,,,,
310,-0.189386057,-0.893430834,Shooter,Jeremy Lamb,G,15.3,2.2,5.5,,,,,,,,,
316,-0.209383757,-1.193641507,Shooter,Damion Lee,G,4.9,0.4,2,,,,,,,,,
333,-1.405074199,-1.094520784,Shooter,Timothe LuwawuCabarrot,GF,1.7,0.2,0.9,,,,,,,,,
334,-0.716037394,-1.228814338,Shooter,Timothe LuwawuCabarrot,GF,6.8,0.8,2.7,,,,,,,,,
347,-1.532697757,-0.705029411,Shooter,Wesley Matthews,GF,13.1,2.3,2.3,,,,,,,,,
348,-1.393736203,-1.046710083,Shooter,Wesley Matthews,GF,10.9,2.4,2.8,,,,,,,,,
349,-0.768579947,-0.376651448,Shooter,Patrick McCaw,G,2.7,1,1.7,,,,,,,,,
350,-1.276393456,-0.489774211,Shooter,CJ McCollum,G,21,3,4,,,,,,,,,
352,-0.987107206,-0.622154048,Shooter,Doug McDermott,F,7.3,0.9,1.4,,,,,,,,,
354,-0.655936379,-0.884545041,Shooter,Rodney McGruder,GF,7.6,1.7,3.6,,,,,,,,,
356,-1.089968258,-0.718467558,Shooter,Ben McLemore,G,3.9,0.2,0.9,,,,,,,,,
362,-0.95334068,-0.282046917,Shooter,Khris Middleton,F,18.3,4.3,6,,,,,,,,,
363,-0.915822691,-1.072773081,Shooter,CJ Miles,FG,5.5,0.6,1.7,,,,,,,,,
364,-0.921796397,-1.002131208,Shooter,CJ Miles,FG,9.3,1.1,2.1,,,,,,,,,
365,-1.562162907,-0.656585387,Shooter,Darius Miller,F,8.2,2.1,1.8,,,,,,,,,
369,-1.04535516,-0.376843196,Shooter,Shake Milton,G,4.4,0.9,1.7,,,,,,,,,
376,-1.44835813,-0.940971771,Shooter,E'Twaun Moore,G,11.9,1.9,2.4,,,,,,,,,
388,-0.24347916,-1.141312776,Shooter,Abdel Nader,F,4,0.3,1.9,,,,,,,,,
401,-0.54934429,-0.736110816,Shooter,Semi Ojeleye,F,3.3,0.4,1.5,,,,,,,,,
404,-1.357008372,-1.182485213,Shooter,Josh Okogie,G,7.7,1.2,2.9,,,,,,,,,
409,-1.079300492,-1.052659178,Shooter,Cedi Osman,F,13,2.6,4.7,,,,,,,,,
416,-0.937097317,-0.631936626,Shooter,Chandler Parsons,F,7.5,1.7,2.8,,,,,,,,,
432,-0.755021978,-0.324174889,Shooter,Norman Powell,FG,8.6,1.5,2.3,,,,,,,,,
434,-0.964205406,-0.934097506,Shooter,Taurean Prince,F,13.5,2.1,3.6,,,,,,,,,
438,-1.393556785,-0.624589504,Shooter,JJ Redick,G,18,2.7,2.4,,,,,,,,,
440,-0.840421187,-0.648341173,Shooter,Cameron Reynolds,G,5,0.7,1.6,,,,,,,,,
442,-1.178090877,-1.331165306,Shooter,Malachi Richardson,G,1.4,0,0.6,,,,,,,,,
443,-1.320823278,-0.390315933,Shooter,Austin Rivers,G,7.2,2,2.4,,,,,,,,,
445,-0.897677825,-0.82255455,Shooter,Glenn Robinson III,GF,4.2,0.4,1.5,,,,,,,,,
447,-1.034329623,-1.263518721,Shooter,Duncan Robinson,F,3.3,0.3,1.3,,,,,,,,,
448,-1.284027789,-0.518531439,Shooter,Jerome Robinson,G,3.4,0.6,1.2,,,,,,,,,
452,-0.965867757,-1.239499071,Shooter,Terrence Ross,GF,15.1,1.7,3.5,,,,,,,,,
457,-1.408289846,-0.597088328,Shooter,Brandon Sampson,G,5.1,0.7,1.1,,,,,,,,,
466,-1.071721268,-0.731781391,Shooter,Wayne Selden,GF,8,1.7,3.2,,,,,,,,,
468,-1.562809329,-0.714084484,Shooter,Landry Shamet,G,8.3,1.1,1.4,,,,,,,,,
470,-1.226341666,-0.904021625,Shooter,Iman Shumpert,G,8.9,2.2,3.1,,,,,,,,,
471,-0.779845392,-0.993054917,Shooter,Iman Shumpert,G,4.6,1.1,2.7,,,,,,,,,
485,-0.594335753,-0.879441856,Shooter,Tony Snell,G,6,0.9,2.1,,,,,,,,,
489,-0.814879361,-0.587302759,Shooter,Nik Stauskas,G,5.5,0.8,2,,,,,,,,,
491,-1.445721715,-0.606726135,Shooter,Edmond Sumner,G,2.9,0.4,1,,,,,,,,,
495,-0.639638621,-1.492491168,Shooter,Garrett Temple,GF,9.4,1.4,3.1,,,,,,,,,
496,-0.826569198,-0.778978284,Shooter,Garrett Temple,GF,4.7,1.4,2.5,,,,,,,,,
501,-1.812882643,-0.769775227,Shooter,Khyri Thomas,G,2.3,0.3,0.8,,,,,,,,,
502,-0.452416121,-1.248636249,Shooter,Lance Thomas,F,4.5,0.6,2.5,,,,,,,,,
503,-1.049753492,-1.101274133,Shooter,Klay Thompson,G,21.5,2.4,3.8,,,,,,,,,
509,-0.954478242,-0.230617545,Shooter,Allonzo Trier,G,10.9,1.9,3.1,,,,,,,,,
523,-1.643158291,-0.714038292,Shooter,Lonnie Walker IV,G,2.6,0.5,1,,,,,,,,,
528,-0.614874982,-1.290722415,Shooter,T.J. Warren,F,18,1.5,4,,,,,,,,,
529,-0.892024804,-1.234675019,Shooter,Julian Washburn,FG,2.2,0.8,2.3,,,,,,,,,
530,-0.968496106,-1.095269316,Shooter,Yuta Watanabe,G,2.6,0.5,2.1,,,,,,,,,
535,-1.012537759,-0.871482428,Shooter,Andrew Wiggins,GF,18.1,2.5,4.8,,,,,,,,,
3,2.85039321,0.645696576,Stretch Big,Steven Adams,C,13.9,1.6,9.5,,,,,,,,,
7,3.128205002,0.63039588,Stretch Big,LaMarcus Aldridge,F,21.3,2.4,9.2,,,,,,,,,
26,2.240120254,-0.761368488,Stretch Big,Marvin Bagley III,F,14.9,1,7.6,,,,,,,,,
30,2.815158556,-0.158639394,Stretch Big,Mo Bamba,C,6.2,0.8,4.9,,,,,,,,,
38,2.502174926,-0.395369741,Stretch Big,Aron Baynes,FC,5.6,1.1,4.7,,,,,,,,,
59,2.098723414,-0.148701988,Stretch Big,Jonah Bolden,F,4.7,0.9,3.8,,,,,,,,,
62,2.928042448,-1.029795929,Stretch Big,Chris Boucher,F,3.3,0.1,2,,,,,,,,,
80,3.094847842,0.149858021,Stretch Big,Thomas Bryant,C,10.5,1.3,6.3,,,,,,,,,
98,2.428003425,0.321183148,Stretch Big,Wendell Carter Jr.,F,10.3,1.8,7,,,,,,,,,
117,2.703986338,-0.488575601,Stretch Big,John Collins,FC,19.5,2,9.8,,,,,,,,,
118,1.525064,-0.384067365,Stretch Big,Zach Collins,FC,6.6,0.9,4.2,,,,,,,,,
138,2.751576002,-1.156323317,Stretch Big,Dewayne Dedmon,C,10.8,1.4,7.5,,,,,,,,,
146,3.403104205,-0.334510906,Stretch Big,Cheick Diallo,F,6,0.5,5.2,,,,,,,,,
148,2.074465042,-0.320914321,Stretch Big,Gorgui Dieng,C,6.4,0.9,4.1,,,,,,,,,
172,3.509513696,-0.334576092,Stretch Big,Kenneth Faried,FC,5.1,0.2,3.7,,,,,,,,,
173,3.614384349,-1.129912764,Stretch Big,Kenneth Faried,FC,12.9,0.7,8.3,,,,,,,,,
191,1.606610095,0.418888689,Stretch Big,Marc Gasol,C,15.7,4.7,8.6,,,,,,,,,
192,1.582610891,0.395779656,Stretch Big,Marc Gasol,C,9.1,3.9,6.7,,,,,,,,,
193,3.121315173,0.085871427,Stretch Big,Pau Gasol,CF,4.2,1.9,4.7,,,,,,,,,
196,2.372350046,-0.592945451,Stretch Big,Taj Gibson,F,10.8,1.2,6.5,,,,,,,,,
211,2.174153322,-1.495420932,Stretch Big,JaMychal Green,F,9.8,0.9,6.1,,,,,,,,,
212,2.675036438,-1.903198965,Stretch Big,JaMychal Green,F,8.7,0.6,6.6,,,,,,,,,
231,2.071486926,-1.448680247,Stretch Big,Udonis Haslem,F,2.5,0.2,2.7,,,,,,,,,
233,3.08450247,-0.416465931,Stretch Big,John Henson,F,5.6,1,5.1,,,,,,,,,
235,2.966112162,-0.344442727,Stretch Big,Willy Hernangomez,C,7.3,1,5.4,,,,,,,,,
254,3.454188658,-0.339769047,Stretch Big,Serge Ibaka,FC,15,1.3,8.1,,,,,,,,,
274,1.754361916,0.663464179,Stretch Big,Amir Johnson,CF,3.9,1.2,2.9,,,,,,,,,
287,1.878534813,-0.712185558,Stretch Big,Jemerrio Jones,F,4.5,2.2,8.2,,,,,,,,,
293,3.505612406,-0.588802417,Stretch Big,Enes Kanter,C,14,1.9,10.5,,,,,,,,,
294,3.52283134,-0.374101945,Stretch Big,Enes Kanter,C,13.1,1.4,8.6,,,,,,,,,
297,1.759643455,-0.745419843,Stretch Big,Maxi Kleber,F,6.8,1,4.6,,,,,,,,,
318,2.094048247,-0.370603087,Stretch Big,Alex Len,C,11.1,1.1,5.5,,,,,,,,,
320,1.794556324,-0.169167897,Stretch Big,Meyers Leonard,FC,5.9,1.2,3.8,,,,,,,,,
321,1.861386571,0.41109998,Stretch Big,Jon Leuer,F,3.8,0.3,2.4,,,,,,,,,
328,2.297063932,-0.722690453,Stretch Big,Brook Lopez,C,12.5,1.2,4.9,,,,,,,,,
330,3.276042501,-1.332088169,Stretch Big,Kevin Love,FC,17,2.2,10.9,,,,,,,,,
339,1.730774497,-0.359887574,Stretch Big,Ian Mahinmi,C,4.1,0.7,3.8,,,,,,,,,
343,3.25707121,0.260247162,Stretch Big,Boban Marjanovic,C,8.2,1.5,5.1,,,,,,,,,
359,2.915471965,0.350171176,Stretch Big,Salah Mejri,C,3.9,1,3.6,,,,,,,,,
367,1.913120837,-0.817091158,Stretch Big,Paul Millsap,F,12.6,2,7.2,,,,,,,,,
370,2.199843592,-1.741463886,Stretch Big,Nikola Mirotic,F,16.7,1.1,8.3,,,,,,,,,
375,2.843934949,0.130477304,Stretch Big,Greg Monroe,C,4.8,0.4,4.1,,,,,,,,,
389,1.807561817,-0.080927084,Stretch Big,Larry Nance Jr.,F,9.4,3.2,8.2,,,,,,,,,
402,2.55312701,0.373466276,Stretch Big,Jahlil Okafor,C,8.2,0.7,4.7,,,,,,,,,
414,1.499237428,-0.050886327,Stretch Big,Jabari Parker,F,15,2.7,7.2,,,,,,,,,
431,2.214314522,0.359811406,Stretch Big,Dwight Powell,FC,10.6,1.5,5.3,,,,,,,,,
435,1.881110019,0.533257004,Stretch Big,Ivan Rabb,F,5.8,1.1,4.2,,,,,,,,,
437,1.64817728,0.1047562,Stretch Big,Julius Randle,F,21.4,3.1,8.7,,,,,,,,,
456,2.865034524,-0.465832752,Stretch Big,Domantas Sabonis,F,14.1,2.9,9.4,,,,,,,,,
481,1.760250175,-0.295610713,Stretch Big,Jason Smith,FC,3.7,1,3.1,,,,,,,,,
486,2.653012888,0.491765003,Stretch Big,Ray Spalding,F,4.2,0.4,3.7,,,,,,,,,
499,1.816109122,0.165436299,Stretch Big,Daniel Theis,F,5.7,1,3.4,,,,,,,,,
504,3.486511127,0.50258101,Stretch Big,Tristan Thompson,FC,10.9,2,10.2,,,,,,,,,
512,3.512256807,-0.048253297,Stretch Big,Myles Turner,FC,13.3,1.6,7.2,,,,,,,,,
514,3.977774117,-0.326973677,Stretch Big,Jonas Valanciunas,C,12.8,1,7.2,,,,,,,,,
516,1.950314636,0.543678643,Stretch Big,Jarred Vanderbilt,F,1.5,0.2,1.4,,,,,,,,,
518,2.139868278,-0.709078546,Stretch Big,Noah Vonleh,F,8.4,1.9,7.8,,,,,,,,,
519,3.274849789,0.396625498,Stretch Big,Nikola Vucevic,C,20.8,3.8,12,,,,,,,,,
8,-0.644793101,0.162112678,Versatile Forwards,Rawle Alkins,G,3.7,1.3,2.6,,,,,,,,,
13,-0.105864776,-0.582215034,Versatile Forwards,Justin Anderson,GF,3.7,0.5,1.8,,,,,,,,,
14,0.804313953,0.334255784,Versatile Forwards,Kyle Anderson,F,8,3,5.9,,,,,,,,,
34,-0.307028692,-0.305794236,Versatile Forwards,Will Barton,G,11.5,2.9,4.6,,,,,,,,,
36,0.033582474,-0.535875498,Versatile Forwards,Nicolas Batum,GF,9.3,3.3,5.2,,,,,,,,,
42,0.695654948,1.167432768,Versatile Forwards,Michael Beasley,F,7,1,2.3,,,,,,,,,
45,-0.369931484,-0.151505294,Versatile Forwards,DeAndre' Bembry,F,8.4,2.5,4.4,,,,,,,,,
49,-0.085760628,0.204226446,Versatile Forwards,Patrick Beverley,G,7.6,3.9,4.9,,,,,,,,,
66,0.006007678,-0.211232284,Versatile Forwards,Corey Brewer,GF,4.1,1.2,2.5,,,,,,,,,
70,-0.048705118,-0.453355958,Versatile Forwards,Ryan Broekhoff,GF,4,0.5,1.5,,,,,,,,,
71,-0.683589876,-0.151697392,Versatile Forwards,Malcolm Brogdon,G,15.6,3.2,4.5,,,,,,,,,
74,-0.648375981,0.053580466,Versatile Forwards,Troy Brown Jr.,F,4.8,1.5,2.8,,,,,,,,,
78,-0.244875612,-0.456241961,Versatile Forwards,Sterling Brown,G,6.4,1.4,3.2,,,,,,,,,
86,-0.172588207,-0.505708147,Versatile Forwards,Alec Burks,G,11.6,2.9,5.5,,,,,,,,,
87,-0.053070361,0.443299394,Versatile Forwards,Alec Burks,G,1.7,0.8,1.7,,,,,,,,,
102,0.204663668,2.029778926,Versatile Forwards,Michael CarterWilliams,G,5.4,4.1,4.8,,,,,,,,,
122,0.438505543,-0.217317508,Versatile Forwards,Pat Connaughton,G,6.9,2,4.2,,,,,,,,,
123,-0.797231778,0.127853518,Versatile Forwards,Quinn Cook,G,6.9,1.5,2.1,,,,,,,,,
140,-0.255489123,-0.470841016,Versatile Forwards,Sam Dekker,F,6.1,1,3,,,,,,,,,
147,-0.181722382,-0.277453382,Versatile Forwards,Hamidou Diallo,G,3.7,0.3,1.9,,,,,,,,,
151,-0.732481959,1.10969718,Versatile Forwards,Luka Doncic,GF,21.2,6,7.8,,,,,,,,,
155,0.800036521,-0.173715556,Versatile Forwards,PJ Dozier,GF,3.2,0.8,2.8,,,,,,,,,
160,0.436902661,1.755737505,Versatile Forwards,Kevin Durant,F,26,5.9,6.4,,,,,,,,,
187,-0.115473145,-0.340781338,Versatile Forwards,Channing Frye,FC,3.6,0.6,1.4,,,,,,,,,
201,0.363402851,-0.237677332,Versatile Forwards,Aaron Gordon,F,16,3.7,7.3,,,,,,,,,
209,0.56790037,1.437349596,Versatile Forwards,Draymond Green,F,7.4,6.9,7.3,,,,,,,,,
214,-0.050577339,0.778808567,Versatile Forwards,Blake Griffin,F,24.5,5.4,7.5,,,,,,,,,
215,-0.197401917,-0.006928097,Versatile Forwards,Daniel Hamilton,GF,3,1.2,2.5,,,,,,,,,
229,0.879363396,0.140511082,Versatile Forwards,Isaiah Hartenstein,FC,1.9,0.5,1.7,,,,,,,,,
232,-0.322001957,0.325537799,Versatile Forwards,Gordon Hayward,F,11.5,3.4,4.5,,,,,,,,,
245,0.560800492,-0.071396181,Versatile Forwards,Rondae HollisJefferson,F,8.9,1.6,5.3,,,,,,,,,
255,0.478126541,0.786746538,Versatile Forwards,Andre Iguodala,GF,5.7,3.2,3.7,,,,,,,,,
258,-0.369313409,-0.04243476,Versatile Forwards,Brandon Ingram,F,18.3,3,5.2,,,,,,,,,
265,-0.415669593,-0.255088765,Versatile Forwards,Josh Jackson,F,11.5,2.3,4.4,,,,,,,,,
276,-0.350739471,0.31259754,Versatile Forwards,James Johnson,F,7.8,2.5,3.2,,,,,,,,,
292,0.62703828,0.065417814,Versatile Forwards,Frank Kaminsky,FC,8.6,1.3,3.5,,,,,,,,,
302,0.086097244,-0.171251131,Versatile Forwards,Luke Kornet,FC,7,1.2,2.9,,,,,,,,,
303,0.179015992,0.055293048,Versatile Forwards,Kyle Korver,GF,6.8,1.1,1.8,,,,,,,,,
313,1.222289751,0.096203849,Versatile Forwards,TJ Leaf,F,3.9,0.4,2.2,,,,,,,,,
314,-0.30748611,0.313080316,Versatile Forwards,Courtney Lee,G,4.7,1.3,2.3,,,,,,,,,
319,-0.047374206,-0.518231294,Versatile Forwards,Kawhi Leonard,F,26.6,3.3,7.3,,,,,,,,,
326,0.178780757,2.260057599,Versatile Forwards,Shaun Livingston,G,4,1.8,1.8,,,,,,,,,
332,-0.221930139,0.848190197,Versatile Forwards,Jordan Loyd,G,2.4,0.5,0.8,,,,,,,,,
335,0.444993726,0.517136477,Versatile Forwards,Tyler Lydon,F,0.9,0.2,0.7,,,,,,,,,
336,0.262922868,-0.316478805,Versatile Forwards,Trey Lyles,F,8.7,1.4,3.9,,,,,,,,,
358,-0.233069651,0.030604621,Versatile Forwards,Jodie Meeks,G,6.4,1,1.5,,,,,,,,,
361,0.023739121,0.779808796,Versatile Forwards,Chimezie Metu,F,1.8,0.4,1.2,,,,,,,,,
393,0.100075217,-0.151218593,Versatile Forwards,Georges Niang,F,4,0.6,1.5,,,,,,,,,
400,-0.00974442,-0.557172826,Versatile Forwards,David Nwaba,G,6.5,1.1,3.2,,,,,,,,,
426,0.372149596,0.578764105,Versatile Forwards,Quincy Pondexter,F,1.8,0.5,0.9,,,,,,,,,
472,0.931195687,-0.040499806,Versatile Forwards,Pascal Siakam,F,16.9,3.1,6.9,,,,,,,,,
490,-0.449509875,0.154030545,Versatile Forwards,Lance Stephenson,G,7.2,2.1,3.2,,,,,,,,,
505,-0.708128252,-0.02166245,Versatile Forwards,Sindarius Thornwell,G,1,0.3,0.7,,,,,,,,,
511,0.001569176,1.574696683,Versatile Forwards,Evan Turner,GF,6.8,3.9,4.5,,,,,,,,,
521,0.052557808,-0.350717727,Versatile Forwards,Moritz Wagner,C,4.8,0.6,2,,,,,,,,,
525,-0.792866715,0.079058914,Versatile Forwards,Tyrone Wallace,G,3.5,0.7,1.6,,,,,,,,,
533,-0.761822353,0.944580123,Versatile Forwards,Derrick White,G,9.9,3.9,3.7,,,,,,,,,
